date;league_id;league;team1;team2;spi1;spi2;prob1;prob2;probtie;proj_score1;proj_score2;score1;score2;xg1;xg2;nsxg1;nsxg2;adj_score1;adj_score2
20/11/2022;1908;FIFA World Cup;Qatar;Ecuador;51.0;72.74;0.2369;0.5045;0.2586;1.13;1.75;;;;;;;;
21/11/2022;1908;FIFA World Cup;England;Iran;85.96;62.17;0.6274;0.1187;0.2539;1.7;0.58;;;;;;;;
21/11/2022;1908;FIFA World Cup;Senegal;Netherlands;73.84;86.01;0.2235;0.5053;0.2712;0.99;1.63;;;;;;;;
21/11/2022;1908;FIFA World Cup;USA;Wales;74.83;65.58;0.4489;0.2591;0.292;1.42;1.01;;;;;;;;
22/11/2022;1908;FIFA World Cup;Argentina;Saudi Arabia;87.21;56.87;0.7228;0.0807;0.1966;2.11;0.54;;;;;;;;
22/11/2022;1908;FIFA World Cup;Denmark;Tunisia;80.02;65.85;0.5001;0.2054;0.2945;1.44;0.82;;;;;;;;
22/11/2022;1908;FIFA World Cup;Mexico;Poland;74.3;68.28;0.4238;0.2802;0.296;1.37;1.06;;;;;;;;
22/11/2022;1908;FIFA World Cup;France;Australia;87.71;60.83;0.6921;0.1009;0.207;2.09;0.65;;;;;;;;
23/11/2022;1908;FIFA World Cup;Morocco;Croatia;75.62;78.84;0.3176;0.3898;0.2926;1.18;1.34;;;;;;;;
23/11/2022;1908;FIFA World Cup;Germany;Japan;88.77;71.44;0.6041;0.174;0.2219;2.14;1.06;;;;;;;;
23/11/2022;1908;FIFA World Cup;Spain;Costa Rica;89.51;55.46;0.7623;0.0595;0.1781;2.19;0.44;;;;;;;;
23/11/2022;1908;FIFA World Cup;Belgium;Canada;82.49;71.59;0.4888;0.2462;0.265;1.68;1.12;;;;;;;;
24/11/2022;1908;FIFA World Cup;Switzerland;Cameroon;77.65;64.16;0.4991;0.2186;0.2823;1.53;0.92;;;;;;;;
24/11/2022;1908;FIFA World Cup;Uruguay;South Korea;80.9;66.12;0.5256;0.1906;0.2838;1.52;0.8;;;;;;;;
24/11/2022;1908;FIFA World Cup;Portugal;Ghana;87.77;58.63;0.6974;0.0912;0.2114;2.0;0.56;;;;;;;;
24/11/2022;1908;FIFA World Cup;Brazil;Serbia;93.55;75.84;0.6787;0.1124;0.2089;2.11;0.72;;;;;;;;
25/11/2022;1908;FIFA World Cup;Wales;Iran;65.58;62.17;0.3635;0.3079;0.3285;1.09;0.98;;;;;;;;
25/11/2022;1908;FIFA World Cup;Qatar;Senegal;51.0;73.84;0.2242;0.5162;0.2595;1.07;1.74;;;;;;;;
25/11/2022;1908;FIFA World Cup;Netherlands;Ecuador;86.01;72.74;0.5274;0.2115;0.2611;1.73;1.0;;;;;;;;
