date;home_team;away_team;home_team_fifa_rank;away_team_fifa_rank;home_team_total_fifa_points;away_team_total_fifa_points;home_team_score;away_team_score;tournament;country;home_team_result;home_team_goalkeeper_score;away_team_goalkeeper_score;home_team_mean_defense_score;home_team_mean_offense_score;home_team_mean_midfield_score;away_team_mean_defense_score;away_team_mean_offense_score;away_team_mean_midfield_score
14/06/2022;Netherlands;Wales;10;18;1658;1588;3;2;UEFA Nations League;Netherlands;Win;81.0;74.0;85.2;83.0;83.5;75.0;73.0;78.5
14/06/2022;Poland;Belgium;26;2;1544;1827;0;1;UEFA Nations League;Poland;Lose;87.0;89.0;75.2;84.7;75.8;80.8;85.7;85.5
14/06/2022;Japan;Tunisia;23;35;1553;1499;0;3;Kirin Cup;Japan;Lose;73.0;;75.2;75.0;77.5;70.8;72.3;74.0
13/06/2022;France;Croatia;3;16;1789;1621;0;1;UEFA Nations League;France;Lose;87.0;82.0;84.2;88.3;86.8;77.8;76.7;84.2
12/06/2022;Switzerland;Portugal;14;8;1635;1674;1;0;UEFA Nations League;Switzerland;Win;85.0;82.0;78.5;76.7;79.5;85.2;86.0;84.5
11/06/2022;Wales;Belgium;18;2;1588;1827;1;1;UEFA Nations League;Wales;Draw;74.0;89.0;75.0;73.0;78.5;80.8;85.7;85.5
11/06/2022;Netherlands;Poland;10;26;1658;1544;2;2;UEFA Nations League;Netherlands;Draw;81.0;87.0;85.2;83.0;83.5;75.2;84.7;75.8
10/06/2022;Denmark;Croatia;11;16;1653;1621;0;1;UEFA Nations League;Denmark;Lose;85.0;82.0;80.2;77.7;80.2;77.8;76.7;84.2
10/06/2022;Japan;Ghana;23;60;1553;1387;4;1;Kirin Cup;Japan;Win;73.0;74.0;75.2;75.0;77.5;75.5;76.0;78.2
09/06/2022;Switzerland;Spain;14;7;1635;1709;0;1;UEFA Nations League;Switzerland;Lose;85.0;84.0;78.5;76.7;79.5;86.5;85.0;86.0
08/06/2022;Wales;Netherlands;18;10;1588;1658;1;2;UEFA Nations League;Wales;Lose;74.0;81.0;75.0;73.0;78.5;85.2;83.0;83.5
08/06/2022;Belgium;Poland;2;26;1827;1544;6;1;UEFA Nations League;Belgium;Win;89.0;87.0;80.8;85.7;85.5;75.2;84.7;75.8
07/06/2022;Germany;England;12;5;1650;1761;1;1;UEFA Nations League;Germany;Draw;90.0;83.0;84.0;82.7;87.8;85.0;88.0;84.0
06/06/2022;Croatia;France;16;3;1621;1789;1;1;UEFA Nations League;Croatia;Draw;82.0;87.0;77.8;76.7;84.2;84.2;88.3;86.8
06/06/2022;Japan;Brazil;23;1;1553;1832;0;1;Friendly;Japan;Lose;73.0;89.0;75.2;75.0;77.5;84.8;86.3;85.5
05/06/2022;Portugal;Switzerland;8;14;1674;1635;4;0;UEFA Nations League;Portugal;Win;82.0;85.0;85.2;86.0;84.5;78.5;76.7;79.5
05/06/2022;Mexico;Ecuador;9;46;1658;1452;0;0;Friendly;USA;Draw;80.0;71.0;76.8;82.7;78.2;73.5;76.0;74.5
05/06/2022;USA;Uruguay;15;13;1633;1635;0;0;Friendly;USA;Draw;77.0;80.0;75.8;77.7;75.8;81.2;84.3;80.0
03/06/2022;France;Denmark;3;11;1789;1653;1;2;UEFA Nations League;France;Lose;87.0;85.0;84.2;88.3;86.8;80.2;77.7;80.2
03/06/2022;Belgium;Netherlands;2;10;1827;1658;1;4;UEFA Nations League;Belgium;Lose;89.0;81.0;80.8;85.7;85.5;85.2;83.0;83.5
02/06/2022;Spain;Portugal;7;8;1709;1674;1;1;UEFA Nations League;Spain;Draw;84.0;82.0;86.5;85.0;86.0;85.2;86.0;84.5
02/06/2022;South Korea;Brazil;29;1;1519;1832;1;5;Friendly;South Korea;Lose;75.0;89.0;73.0;80.0;73.8;84.8;86.3;85.5
02/06/2022;Mexico;Uruguay;9;13;1658;1635;0;3;Friendly;USA;Lose;80.0;80.0;76.8;82.7;78.2;81.2;84.3;80.0
01/06/2022;Poland;Wales;26;18;1544;1588;2;1;UEFA Nations League;Poland;Win;87.0;74.0;75.2;84.7;75.8;75.0;73.0;78.5
01/06/2022;USA;Morocco;15;24;1633;1551;3;0;Friendly;USA;Win;77.0;82.0;75.8;77.7;75.8;81.2;81.7;76.2
30/03/2022;Costa Rica;USA;42;13;1464;1643;2;0;FIFA World Cup qualification;Costa Rica;Win;88.0;77.0;71.5;70.3;69.2;75.8;77.7;75.8
29/03/2022;Saudi Arabia;Australia;53;37;1433;1486;1;0;FIFA World Cup qualification;Saudi Arabia;Win;70.0;77.0;72.8;67.7;72.8;72.0;72.3;73.5
29/03/2022;Ecuador;Argentina;44;4;1458;1766;1;1;FIFA World Cup qualification;Ecuador;Draw;71.0;84.0;73.5;76.0;74.5;82.2;89.0;84.0
29/03/2022;Denmark;Serbia;9;25;1654;1547;3;0;Friendly;Denmark;Win;85.0;80.0;80.2;77.7;80.2;75.8;80.3;81.8
29/03/2022;Netherlands;Germany;10;11;1653;1648;1;1;Friendly;Netherlands;Draw;81.0;90.0;85.2;83.0;83.5;84.0;82.7;87.8
26/03/2022;England;Switzerland;5;14;1755;1642;2;1;Friendly;England;Win;83.0;85.0;85.0;88.0;84.0;78.5;76.7;79.5
26/03/2022;Netherlands;Denmark;10;9;1653;1654;4;2;Friendly;Netherlands;Win;81.0;85.0;85.2;83.0;83.5;80.2;77.7;80.2
24/03/2022;Mexico;USA;12;13;1647;1643;0;0;FIFA World Cup qualification;Mexico;Draw;80.0;77.0;76.8;82.7;78.2;75.8;77.7;75.8
